class,precision,recall,f1_score,support
glioma,0.8296296296296296,0.7466666666666667,0.7859649122807018,300
meningioma,0.6701388888888888,0.630718954248366,0.6498316498316499,306
notumor,0.9102244389027432,0.9012345679012346,0.9057071960297767,405
pituitary,0.8068181818181818,0.9466666666666667,0.8711656441717791,300
